Commodity,Variety,Origin,Grade,Size,Shell
Almonds,Nonpareil,California,,,Inshell
Almonds,Carmel,California,,,Inshell
Almonds,Butte,California,,,Inshell
Almonds,Padre,California,,,Inshell
Almonds,Mission,California,,,Inshell
Almonds,Monterey,California,,,Inshell
Almonds,Sonora,California,,,Inshell
Almonds,Fritz,California,,,Inshell
Almonds,Peerless,California,,,Inshell
Almonds,Price,California,,,Inshell
Almonds,Nonpareil,California,U.S. Extra No. 1,16/18,Shelled
Almonds,Nonpareil,California,U.S. Extra No. 1,18/20,Shelled
Almonds,Nonpareil,California,U.S. Extra No. 1,20/22,Shelled
Almonds,Nonpareil,California,U.S. Extra No. 1,22/24,Shelled
Almonds,Nonpareil,California,U.S. Extra No. 1,23/25,Shelled
Almonds,Nonpareil,California,U.S. Extra No. 1,24/26,Shelled
Almonds,Nonpareil,California,U.S. Extra No. 1,26/28,Shelled
Almonds,Nonpareil,California,U.S. Extra No. 1,27/30,Shelled
Almonds,Nonpareil,California,U.S. Extra No. 1,30/34,Shelled
Almonds,Nonpareil,California,U.S. Extra No. 1,34/40,Shelled
Almonds,Nonpareil,California,U.S. Extra No. 1,40/50,Shelled
Almonds,Nonpareil,California,U.S. Extra No. 1,50 AOS,Shelled
Almonds,Nonpareil,California,U.S. Extra No. 1,UNS,Shelled
Almonds,Nonpareil,California,U.S. No. 1,16/18,Shelled
Almonds,Nonpareil,California,U.S. No. 1,18/20,Shelled
Almonds,Nonpareil,California,U.S. No. 1,20/22,Shelled
Almonds,Nonpareil,California,U.S. No. 1,22/24,Shelled
Almonds,Nonpareil,California,U.S. No. 1,23/25,Shelled
Almonds,Nonpareil,California,U.S. No. 1,24/26,Shelled
Almonds,Nonpareil,California,U.S. No. 1,26/28,Shelled
Almonds,Nonpareil,California,U.S. No. 1,27/30,Shelled
Almonds,Nonpareil,California,U.S. No. 1,30/34,Shelled
Almonds,Nonpareil,California,U.S. No. 1,34/40,Shelled
Almonds,Nonpareil,California,U.S. No. 1,40/50,Shelled
Almonds,Nonpareil,California,U.S. No. 1,50 AOS,Shelled
Almonds,Nonpareil,California,U.S. No. 1,UNS,Shelled
Almonds,Nonpareil,California,U.S. Select Sheller Run,16/18,Shelled
Almonds,Nonpareil,California,U.S. Select Sheller Run,18/20,Shelled
Almonds,Nonpareil,California,U.S. Select Sheller Run,20/22,Shelled
Almonds,Nonpareil,California,U.S. Select Sheller Run,22/24,Shelled
Almonds,Nonpareil,California,U.S. Select Sheller Run,23/25,Shelled
Almonds,Nonpareil,California,U.S. Select Sheller Run,24/26,Shelled
Almonds,Nonpareil,California,U.S. Select Sheller Run,26/28,Shelled
Almonds,Nonpareil,California,U.S. Select Sheller Run,27/30,Shelled
Almonds,Nonpareil,California,U.S. Select Sheller Run,30/34,Shelled
Almonds,Nonpareil,California,U.S. Select Sheller Run,34/40,Shelled
Almonds,Nonpareil,California,U.S. Select Sheller Run,40/50,Shelled
Almonds,Nonpareil,California,U.S. Select Sheller Run,50 AOS,Shelled
Almonds,Nonpareil,California,U.S. Select Sheller Run,UNS,Shelled
Almonds,Nonpareil,California,U.S. Standard Sheller Run,16/18,Shelled
